kp,ki,kd,cost
5,10,5,27581.2548481574
5,10,10,27581.2548481574
5,10,15,27581.2548481574
5,10,20,27581.2548481574
5,15,5,27581.2548481574
5,15,10,27581.2548481574
5,15,15,27581.2548481574
5,15,20,27581.2548481574
5,20,5,27581.2548481574
5,20,10,27581.2548481574
5,20,15,27581.2548481574
5,20,20,27581.2548481574
5,30,5,27581.2548481574
5,30,10,27581.2548481574
5,30,15,27581.2548481574
5,30,20,27581.2548481574
10,10,5,27581.2548481574
10,10,10,27581.2548481574
10,10,15,27581.2548481574
10,10,20,27581.2548481574
10,15,5,27581.2548481574
10,15,10,27581.2548481574
10,15,15,27581.2548481574
10,15,20,27581.2548481574
10,20,5,27581.2548481574
10,20,10,27581.2548481574
10,20,15,27581.2548481574
10,20,20,27581.2548481574
10,30,5,27581.2548481574
10,30,10,27581.2548481574
10,30,15,27581.2548481574
10,30,20,27581.2548481574
13,10,5,27581.2548481574
13,10,10,27581.2548481574
13,10,15,27581.2548481574
13,10,20,27581.2548481574
13,15,5,27581.2548481574
13,15,10,27581.2548481574
13,15,15,27581.2548481574
13,15,20,27581.2548481574
13,20,5,27581.2548481574
13,20,10,27581.2548481574
13,20,15,27581.2548481574
13,20,20,27581.2548481574
13,30,5,27581.2548481574
13,30,10,27581.2548481574
13,30,15,27581.2548481574
13,30,20,27581.2548481574
20,10,5,27581.2548481574
20,10,10,27581.2548481574
20,10,15,27581.2548481574
20,10,20,27581.2548481574
20,15,5,27581.2548481574
20,15,10,27581.2548481574
20,15,15,27581.2548481574
20,15,20,27581.2548481574
20,20,5,27581.2548481574
20,20,10,27581.2548481574
20,20,15,27581.2548481574
20,20,20,27581.2548481574
20,30,5,27581.2548481574
20,30,10,27581.2548481574
20,30,15,27581.2548481574
20,30,20,27581.2548481574
30,10,5,27581.2548481574
30,10,10,27581.2548481574
30,10,15,27581.2548481574
30,10,20,27581.2548481574
30,15,5,27581.2548481574
30,15,10,27581.2548481574
30,15,15,27581.2548481574
30,15,20,27581.2548481574
30,20,5,27581.2548481574
30,20,10,27581.2548481574
30,20,15,27581.2548481574
30,20,20,27581.2548481574
30,30,5,27581.2548481574
30,30,10,27581.2548481574
30,30,15,27581.2548481574
30,30,20,27581.2548481574
